word,reading,pos,meaning,collocation,quadrant,count
会場,かいじょう,名詞,会场,,隐藏考点,26
自動,じどう,名詞,自动,,隐藏考点,26
海外,かいがい,名詞,海外,,隐藏考点,26
プラン,ぷらん,名詞,计划,,隐藏考点,26
受け取る,うけとる,動詞,接收,荷物を受け取る / メッセージを受け取る / 給料を受け取る,隐藏考点,26
けいじ,けいじ,名詞,警示,,隐藏考点,26
とおり,とおり,名詞,街道,,隐藏考点,26
口,くち,名詞,口,,隐藏考点,26
幸福,こうふく,名詞,幸福,,隐藏考点,26
事務,じむ,名詞,事务,,隐藏考点,26
地図,ちず,名詞,地图,,隐藏考点,25
きっかけ,きっかけ,名詞,契机,,隐藏考点,25
過ごす,すごす,動詞,度过,時間を過ごす / 休日を過ごす / 楽しく過ごす,隐藏考点,25
違い,ちがい,名詞,差异,,隐藏考点,25
現代,げんだい,名詞,现代,,隐藏考点,25
各,かく,接頭辞,各个,,隐藏考点,25
修理,しゅうり,名詞,修理,,隐藏考点,25
きちんと,きちんと,副詞,整齐,きちんと準備する / きちんと確認する / きちんと伝える,隐藏考点,25
小説,しょうせつ,名詞,小说,,隐藏考点,25
金額,きんがく,名,金额,,黄金词,24
家族,かぞく,名詞,家庭,,隐藏考点,24
まつ,まつ,動詞,等待,バスをまつ / 結果をまつ / チャンスをまつ,隐藏考点,24
したがう,したがう,動詞,遵循,規則にしたがう / 指示にしたがう / 流れにしたがう,隐藏考点,24
しめす,しめす,動詞,表示,証拠をしめす / 方向をしめす / 結果をしめす,隐藏考点,24
ほとんど,ほとんど,名詞,几乎,,隐藏考点,24
講義,こうぎ,名詞,讲座,,隐藏考点,24
受講,じゅこう,名詞,听课,,隐藏考点,24
花粉,かふん,名詞,花粉,,隐藏考点,24
非常,ひじょう,形状詞,非常,非常に重要だ / 非常に効果的だ / 非常に便利だ,隐藏考点,24
届ける,とどける,動詞,送达,荷物を届ける / 情報を届ける / 書類を届ける,隐藏考点,24
食,しょく,名詞,食物,,隐藏考点,24
周り,まわり,名詞,周围,,隐藏考点,24
役立つ,やくだつ,動詞,有用,社会に役立つ / 仕事に役立つ / 知識が役立つ,隐藏考点,24
過程,かてい,名詞,过程,,隐藏考点,24
直接,ちょくせつ,副詞,直接,直接伝える / 直接会う / 直接確認する,隐藏考点,24
建てる,たてる,動詞,建造,家を建てる / ビルを建てる / 計画を建てる,隐藏考点,24
おもちゃ,おもちゃ,名詞,玩具,,隐藏考点,24
ちゅうりん,ちゅうりん,名詞,骑行,,隐藏考点,24
鑑賞,かんしょう,名·他サ,鉴赏,音楽を鑑賞する（欣赏音乐）,黄金词,23
姿勢,しせい,名,姿势,,黄金词,23
集中,しゅうちゅう,名·自他サ,集中,仕事に集中する / 勉強に集中する / 一点に集中する,黄金词,23
しわ,しわ,名,皱纹,,黄金词,23
当然,とうぜん,副,当然，应该,当然の結果だ / 当然理解できる / 当然のことだ,黄金词,23
経済,けいざい,名詞,经济,,隐藏考点,23
新聞,しんぶん,名詞,新闻,,隐藏考点,23
施設,しせつ,名詞,设施,,隐藏考点,23
対応,たいおう,名詞,应对,,隐藏考点,23
開く,ひらく,動詞,打开,扉を開く / 会議を開く / 店を開く,隐藏考点,23
名,な,名詞,名字,,隐藏考点,23
指導,しどう,名詞,指导,,隐藏考点,23
セット,せっと,名詞,套装,,隐藏考点,23
生じる,しょうずる,動詞,产生,問題が生じる / 変化が生じる / 差が生じる,隐藏考点,23
起こる,おこる,動詞,发生,事故が起こる / 変化が起こる / 問題が起こる,隐藏考点,23
風景,ふうけい,名詞,风景,,隐藏考点,23
電気,でんき,名詞,电,,隐藏考点,23
問い,とい,名詞,问题,,隐藏考点,23
納品,のうひん,名詞,交货,,隐藏考点,23
広げる,ひろげる,動詞,扩展,視野を広げる / 活動を広げる / 可能性を広げる,隐藏考点,23
負担,ふたん,名詞,负担,,隐藏考点,23
売れる,うれる,動詞,畅销,商品が売れる / 本がよく売れる / 新製品が売れる,隐藏考点,23
誤解,ごかい,名詞,误解,,隐藏考点,23
歌,うた,名詞,歌曲,,隐藏考点,23
完成,かんせい,名·自他サ,完成,作品を完成する / 計画を完成する / 無事に完成する,黄金词,22
筆者,ひっしゃ,名,笔者,,黄金词,22
反対,はんたい,名詞,反对,,隐藏考点,22
期待,きたい,名詞,期待,,隐藏考点,22
性格,せいかく,名詞,性格,,隐藏考点,22
部屋,へや,名詞,房间,,隐藏考点,22
注目,ちゅうもく,名詞,关注,,隐藏考点,22
すすめる,すすめる,動詞,推荐,仕事をすすめる / 計画をすすめる / 話をすすめる,隐藏考点,22
地球,ちきゅう,名詞,地球,,隐藏考点,22
意図,いと,名詞,意图,,隐藏考点,22
セミナー,せみなー,名詞,研讨会,,隐藏考点,22
ずっと,ずっと,副詞,一直,ずっと続ける / ずっと大切にする / ずっと覚えている,隐藏考点,22
動く,うごく,動詞,移动,機械が動く / 計画が動く / 心が動く,隐藏考点,22
いくら,いくら,名詞,多少,,隐藏考点,22
捨てる,すてる,動詞,丢弃,ゴミを捨てる / 古いものを捨てる / 考えを捨てる,隐藏考点,22
服,ふく,名詞,衣服,,隐藏考点,22
消す,けす,動詞,消除,電気を消す / 記録を消す / 音を消す,隐藏考点,22
一般,いっぱん,名詞,一般,,隐藏考点,22
スタッフ,すたっふ,名詞,员工,,隐藏考点,22
以外,いがい,名詞,以外,,隐藏考点,22
担当,たんとう,名詞,负责,,隐藏考点,22
かまう,かまう,動詞,关心,他人をかまう / 細かいことをかまう / 関係をかまう,隐藏考点,22
取れる,とれる,動詞,能取,コミュニケーションが取れる / バランスが取れる / ストレスが取れる,隐藏考点,22
未来,みらい,名詞,将来,,隐藏考点,22
どちら,どちら,代名詞,哪边,,隐藏考点,22
刺激,しげき,名詞,刺激,,隐藏考点,22
すでに,すでに,副詞,已经,すでに完成した / すでに知っている / すでに対応した,隐藏考点,22
育てる,そだてる,動詞,培养,子供を育てる / 才能を育てる / 人材を育てる,隐藏考点,22
人工,じんこう,名詞,人造,,隐藏考点,22
まったく,まったく,副詞,完全,まったく理解できない / まったく変わらない / まったく同じだ,隐藏考点,22
表面,ひょうめん,名詞,表面,,隐藏考点,22
機,き,名詞,机器,,隐藏考点,22
歌える,うたう,動詞,能唱,日本語で歌える / 歌を歌える / 上手に歌える,隐藏考点,22
物事,ものごと,名詞,事物,,隐藏考点,22
すばらしい,すばらしい,形容詞,精彩,,隐藏考点,21
友人,ゆうじん,名詞,朋友,,隐藏考点,21
今後,こんご,名詞,今后,,隐藏考点,21
あたりまえ,あたりまえ,形状詞,理所当然,あたりまえのことだ / あたりまえに思う,隐藏考点,21
国際,こくさい,名詞,国际,,隐藏考点,21
払う,はらう,動詞,支付,料金を払う / 注意を払う / 税金を払う,隐藏考点,21
レベル,れべる,名詞,水平,,隐藏考点,21
適切,てきせつ,形状詞,适当,適切に対応する / 適切な方法 / 適切な情報を与える,隐藏考点,21
小さい,ちいさい,形容詞,小,,隐藏考点,21
下がる,さがる,動詞,下降,温度が下がる / 価格が下がる / 気分が下がる,隐藏考点,21
第,だい,接頭辞,第,,隐藏考点,21
具体,ぐたい,名詞,具体,,隐藏考点,21
か月,かげつ,名詞,个月,,隐藏考点,21
花,はな,名詞,花,,隐藏考点,21
呼ぶ,よぶ,動詞,呼唤,名前を呼ぶ / タクシーを呼ぶ / 仲間を呼ぶ,隐藏考点,21
文書,ぶんしょ,名詞,文档,,隐藏考点,21
最後,さいご,名詞,最后,,隐藏考点,21
向上,こうじょう,名詞,提升,,隐藏考点,21
側,がわ,名詞,侧,,隐藏考点,21
号,ごう,名詞,号,,隐藏考点,21
鉄道,てつどう,名詞,铁路,,隐藏考点,21
現実,げんじつ,名詞,现实,,隐藏考点,21
食べ物,たべもの,名詞,食物,,隐藏考点,21
発見,はっけん,名詞,发现,,隐藏考点,21
時期,じき,名詞,时期,,隐藏考点,21
顔,かお,名詞,脸,,隐藏考点,21
らしい,らしい,接尾辞,似乎,,隐藏考点,21
指定,してい,名詞,指定,,隐藏考点,21
向け,むける,接尾辞,面向,,隐藏考点,21
元,もと,名,原来,,黄金词,20
超える,こえる,自下一,超过,国境 [こっきょう] を超える（超越国界）,黄金词,20
今回,こんかい,名詞,此次,,隐藏考点,20
大会,たいかい,名詞,大会,,隐藏考点,20
億,おく,名詞,亿,,隐藏考点,20
子,こ,名詞,孩子,,隐藏考点,20
がち,がち,接尾辞,倾向,,隐藏考点,20
川,かわ,名詞,河,,隐藏考点,20
広がる,ひろがる,動詞,扩展,範囲が広がる / 影響が広がる / 可能性が広がる,隐藏考点,20
運ぶ,はこぶ,動詞,运输,荷物を運ぶ / 物資を運ぶ / 人を運ぶ,隐藏考点,20
仲間,なかま,名詞,伙伴,,隐藏考点,20
まとめる,まとめる,動詞,总结,内容をまとめる / 考えをまとめる / 資料をまとめる,隐藏考点,20
充実,じゅうじつ,名詞,充实,,隐藏考点,20
なかなか,なかなか,副詞,相当,なかなか難しい / なかなか進まない / なかなか良い,隐藏考点,20
始まる,はじまる,動詞,开始,授業が始まる / 会議が始まる / プロジェクトが始まる,隐藏考点,20
応募,おうぼ,名詞,申请,,隐藏考点,20
皿,さら,名詞,盘子,,隐藏考点,20
携帯,けいたい,名詞,手机,,隐藏考点,20
世の中,よのなか,名詞,世界,,隐藏考点,20
程度,ていど,名詞,程度,,隐藏考点,20
着る,きる,動詞,穿,服を着る / コートを着る / 制服を着る,隐藏考点,20
イベント,いべんと,名詞,活动,,隐藏考点,20
外,そと,接尾辞,外面,,隐藏考点,20
集める,あつめる,動詞,收集,情報を集める / データを集める / 資金を集める,隐藏考点,20
視点,してん,名詞,视角,,隐藏考点,20
含む,ふくむ,動詞,包含,情報を含む / 費用を含む / リスクを含む,隐藏考点,20
人気,にんき,名詞,人气,,隐藏考点,20
全員,ぜんいん,名詞,全员,,隐藏考点,20
教室,きょうしつ,名詞,教室,,隐藏考点,20
回答,かいとう,名詞,回答,,隐藏考点,20
世代,せだい,名詞,世代,,隐藏考点,20
睡眠,すいみん,名詞,睡眠,,隐藏考点,20
講座,こうざ,名詞,讲座,,隐藏考点,20
