word,reading,pos,meaning,collocation,count,source,is_n2_core,examples,meaning_detail,quadrant
見つめる,みつめる,他下一,凝视,相手の顔を見つめる（凝视对方的面孔）,5,两者,是,自分の気持ちをしっかり見つめる / く見つめた方がよいと述べている。,①凝视（彼女を見つめる｜凝视她）②注视（空を見つめる｜注视天空）,社区推荐
寄せる,よせる,自他下一,靠近,車を左に寄せる（让汽车向左靠近）,5,两者,是,最近、格安航空会社に高い関心が寄せられているようだ。 / っているなどといった、様々な苦情が総務課に寄せられています。,①靠近（体を寄せる｜靠近身体）②寄托（思いを寄せる｜寄托思念）,社区推荐
だらしない,だらしない,イ形,散漫的；没出息的,だらしないふうをする（邋遢打扮）,5,两者,是,. 昨日作ったスープは塩がたりなかったのか、 とてもだらしない味だった。 / . この公園は管理する人がいないので、あちこちに草だらしなく生えている。,①不整洁（だらしない服装｜衣服不整洁）②懒散（だらしない生活｜生活懒散）,社区推荐
ほんの,ほんの,连体,仅仅，一点点,ほんの少し（一点点）,5,两者,是,実はそれが世界のほんの小さな一 / (注5) 一抹(いちまつ) の : ほんの少しの,①仅仅（ほんの少し｜仅仅一点）②只是（ほんの冗談｜只是开玩笑）,社区推荐
ごく,ごく,副,非常，极其,ごく簡単だ（极其简单）,5,两者,是,ごく当たり前の心のはたらきだと思っていた。 / 大事な数字のほかは、 ごく要点だけをノートに記入する。,①非常少（ごく少数です｜非常少）②极其（ごく普通です｜极其普通）,社区推荐
ほぼ,ほぼ,副,大约，左右,ほぼ完成する / ほぼ同じ / ほぼ全て,5,两者,是,宿題のレポートはほぼ終わった。 / は生まれてから死ぬまで、 変わることはほぼありません。,①几乎（ほぼ完成です｜几乎完成）②差不多（ほぼ同じです｜差不多一样）,社区推荐
やや,やや,副,稍微,やや難しい（有点难）,5,两者,是,用したい」 / または「やや利用したい」,①稍微（やや大きいです｜稍微大）②有点（やや難しいです｜有点难）,社区推荐
クラブ,くらぶ,名,俱乐部,クラブに入る / クラブ活動 / クラブを作る,5,两者,是,クラブのミーティングに出席する / クラブをやめようと思っているから,①俱乐部（スポーツクラブです｜体育俱乐部）②社团（音楽クラブです｜音乐社团）,社区推荐
マーケット,まーけっと,名,市场；商场,マーケットで買う / マーケットが開く / マーケットの動向,5,两者,是,おもちゃメーカーにとっては魅力的なマーケットである。 / メーカーにとって大人向けのおもちゃマーケットの何が魅力的なのか。,①市场（フリーマーケットです｜跳蚤市场）②商场（スーパーマーケットです｜超市）,社区推荐
メリット,めりっと,名,优点，好处,メリットがある / メリットを考える / メリットとデメリット,5,两者,是,自社のイメージの向上や売り上げの増加などメリットの多い取り組みとなっている。 / より豊かになれること、誰にでも豊かになるチャンスがあることが大きなメリットである。,①优点（この商品のメリットです｜这个商品的优点）②好处（メリットがあります｜有好处）,社区推荐
かみ,かみ,名詞,纸,かみを使う / かみがある / かみを切る,5,真题,否,かみがたが気に入らないから,①纸（かみを使います｜用纸）②神（神様がいます｜有神）,边缘词
防災,ぼうさい,名詞,防灾,防災に努める / 防災対策 / 防災訓練,5,真题,否,今から、 防災訓練を行います。 / ぼうさいグッズに関心を持つこと,①防灾（防災訓練です｜防灾训练）②灾害预防（防災対策です｜灾害预防措施）,边缘词
ゆずる,ゆずる,動詞,让渡,ゆずることができる / ゆずる場面 / ゆずる気持ち,5,真题,否,アルバイト先の友達に譲る / 友人がバイクを安くゆずってくれた。,①让（席をゆずります｜让座）②转让（権利をゆずる｜转让权利）,边缘词
本格,ほんかく,名詞,正宗,本格的な / 本格を目指す / 本格的な料理,5,真题,否,南の丘公園内で本格的なバーベキューが楽しめます / 友人に写真をほめられたのがきっかけで、本格的に勉強を始めた。,①正式（本格的な料理です｜正式的料理）②真正（本格的な映画です｜真正的电影）,边缘词
薬,くすり,名詞,药,薬を飲む / 薬が効く / 薬を処方する,5,真题,否,(高城幸司『上司につける薬! / 薬で治ったと思っていた風邪が続出した。,①药物（風邪の薬を飲む｜吃感冒药）②药剂（塗り薬を使う｜用涂抹药）,边缘词
塗る,ぬる,動詞,涂抹,塗ることができる / 塗る作業 / 塗る色,5,真题,否,まどの外見をペンキで白く塗った。 / そして最後に、鉛筆の下書きが水性絵の具で色をぬった後に消せない理由が説明されていた。,①涂抹（クリームを塗る｜涂抹奶油）②涂色（絵を塗る｜给画上色）,边缘词
母,はは,名詞,母亲,母がいる / 母に感謝する / 母の愛,5,真题,否,母に強くすすめられたこと / 母は怒っている外見だった。,①母亲（私の母は優しい｜我妈妈很温柔）②妈妈（お母さんと呼ぶ｜叫妈妈）,边缘词
毎年,まいとし,名詞,每年,毎年行う / 毎年の行事 / 毎年の目標,5,真题,否,毎年、合格者の80パーセントが / 私の大学では、毎年大勢の留学生を受け入れています,①每年（毎年旅行に行く｜每年去旅行）②每年一次（毎年の行事｜每年的活动）,边缘词
考慮,こうりょ,名詞,考虑,考慮に入れる / 考慮が必要 / 考慮するべき,5,真题,否,自然界の水の循環を考慮して、場所を選んで気を植えたほうがいいと考えること / (注)~に配慮 (はいりょ) する:~を大切に思っていろいろ考慮(こうりょ)する。,①考虑（考慮する必要がある｜需要考虑）②顾虑（考慮して決める｜考虑后决定）,边缘词
エネルギー,えねるぎー,名詞,能源,エネルギーを使う / エネルギーが必要 / エネルギー源,5,真题,否,は、おかげさまで順調に売り上げを伸ばして / 昨日夏に販売を開始いたしました商品「エネルギーZ」,①能量（エネルギーを使う｜使用能量）②活力（エネルギーがある｜有活力）,边缘词
コップ,こっぷ,名詞,杯子,コップを持つ / コップが割れる / コップに入れる,5,真题,否,A コップに絵をつけよう(60分) / 専用の機械を使い、 ガラスのコップにオリジナルの絵や模様をつけます。,①杯子（コップに水を入れる｜杯子里加水）②玻璃杯（ガラスのコップ｜玻璃杯）,边缘词
相当,そうとう,名詞,相当,相当な量 / 相当の時間 / 相当の費用,5,真题,否,その国も今の時期はそうとう暑いだろう。 / (注) ゴマンと付き合い、やっとそれがわかったのだから、 私は相当に鈍い。,①相当于（相当の価格｜相当的价格）②相当的（相当な量｜相当的数量）,边缘词
いきなり,いきなり,副詞,突然,いきなり来る / いきなりの出来事 / いきなりの質問,5,真题,否,学生の時代の友人がいきなり訪ねてきた / いきなり自分らしさを出したいと考えるのではなく、まずは世間が振り向いてくれるレベルのも,①突然（いきなり大声を出す｜突然大喊）②毫无预警（いきなり来た｜毫无预警地来）,边缘词
エンジン,えんじん,名詞,引擎,エンジンがかかる / エンジンをかける / エンジンの音,5,真题,否,うなずきながらエンジンを温め、他 / 人の話に軽く返事をしながら車のエンジンを温めること,①引擎（エンジンが動く｜引擎运转）②发动机（エンジンを修理する｜修理发动机）,边缘词
慎重,しんちょう,名詞,谨慎,慎重に行動する / 慎重な判断 / 慎重さが求められる,5,真题,否,この作業は慎重にやってください。 / 保守的というより、慎重だと言ってほしい。,①小心谨慎（慎重に行動する｜小心行动）②细心周到（慎重な判断｜细心判断）,边缘词
地方,ちほう,名詞,地方,地方に住む / 地方の特産 / 地方自治,5,真题,否,地方紙も同じだったと思います。 / 地方に勤める可能性があるから。,①地区、地方（地方の特産品｜地方特产）②乡村、乡下（地方に住んでいる｜住在乡下）,边缘词
なるほど,なるほど,副詞,原来如此,なるほどと思う / なるほどな理由 / なるほどの説明,5,真题,否,なるほど、確かにそうだと思った。 / 話を聞いているときは「なるほどなあ」,①原来如此（なるほど、そういうことか｜原来如此）②确实如此（なるほど、分かりました｜确实如此）,边缘词
快適,かいてき,名詞,舒适,快適な空間 / 快適に過ごす / 快適さを求める,5,真题,否,しかし、人々はより安全で快適に暮らせるよ / なった分、大きく重いという欠点もありますが、 その快適さにかえられないという人には②問題になり,①舒适愉快（快適な生活｜舒适的生活）②轻松自在（快適な空間｜轻松的空间）,边缘词
眼鏡,めがね,名詞,眼镜,眼鏡をかける / 眼鏡が必要 / 眼鏡を買う,5,真题,否,. めがねをけると、遠くの物もきっぱり見えるようになる。 / (注1)老眼鏡: 年をとって近くが見えにくくなった人のための眼鏡,①眼镜（眼鏡をかける｜戴眼镜）②镜片（眼鏡のレンズ｜眼镜的镜片）,边缘词
拡大,かくだい,名詞,扩大,拡大することができる / 拡大を図る / 拡大の効果,5,真题,否,り越え、人口を拡大していった。 / 文字が拡大されて辞書が以前より重くなったこと,①扩大、扩展（拡大する｜扩大）②放大（画像を拡大する｜放大图片）,边缘词
野球,やきゅう,名詞,棒球,野球をする / 野球の試合 / 野球が好き,5,真题,否,子供の頃に憧れていた野球選手とか、大学時代に憧れ / 趣味に例をとっても、ある人は野球することをあげ、 他の,①棒球（野球をする｜打棒球）②体育运动（野球が人気｜棒球很受欢迎）,边缘词
いちいち,いちいち,名詞,逐一,いちいち説明する / いちいち確認する / いちいち気にする,5,真题,否,前田さんは私が言うことにいちいち論争するので、やりにくくて困る。 / 基本的なことは、話の内容をいちいちすべてメモしまい、ということである。,①逐一、每一（いちいち説明する｜逐一解释）②一一、每个（いちいち気にする｜每个都在意）,边缘词
オリジナル,おりじなる,名詞,原创,オリジナルの作品 / オリジナルを作る / オリジナルなアイデア,5,真题,否,この言葉は私のオリジナルです。 / パスについている楽遊オリジナルガイ,①原创、原版（オリジナルの作品｜原创作品）②独特、独创（オリジナルなアイデア｜独特的想法）,边缘词
たどり着く,たどりつく,動詞,到达,たどり着くことができる / たどり着くまで / たどり着く道,5,真题,否,しかし、その目標へ辿 (たどり着く道は決して一本ではない。 / この考え方にたどり着いたのは38歳のときですが、その頃から努,①到达、抵达（目的地にたどり着く｜到达目的地）②找到、寻找到（真実にたどり着く｜找到真相）,边缘词
客観,きゃっかん,名詞,客观,客観的に見る / 客観が必要 / 客観的な意見,5,真题,否,なのです。 / そして、努力を客観視するための測定方法が 「時間」,①客观（物事を客観的に見る｜客观地看事情）②客观性（客観的な視点が重要｜客观视角很重要）,边缘词
昨,さく,接頭辞,昨,昨日行った / 昨日の出来事 / 昨年の話,5,真题,否,昨年度セミナー受講者の声 / 日間の開催期間で最終的には昨,①昨晚（昨夜は楽しかった｜昨晚很开心）②昨天（昨日は雨が降った｜昨天下雨了）,边缘词
抽選,ちゅうせん,名詞,抽签,抽選に参加する / 抽選が行われる / 抽選結果,5,真题,否,(申込者多数の場合、 抽選) / 応募者多数の場合は抽選になります。,①抽签（抽選に参加する｜参加抽签）②抽取（抽選で決まる｜通过抽签决定）,边缘词
除く,のぞく,動詞,除外,除くことができる / 除く対象 / 除く必要がある,5,真题,否,この「変化」 / した状態となるのです。,①除去（不要なものを除く｜去掉不需要的东西）②排除（問題を除く｜排除问题）,边缘词
水曜,すいよう,名詞,星期三,水曜に会う / 水曜の予定 / 水曜の授業,5,真题,否,市役所で申し込む場合は、水曜日の決められた時間に行く。 / 市役所市民課窓口 受付時間: 水曜日を除く 9:00~17:00,①星期三（水曜日に会いましょう｜星期三见）,边缘词
家具,かぐ,名詞,家具,家具を買う / 家具が必要 / 家具の配置,5,真题,否,家具がたおれないようにする / 衣料品や家具などでは中古品市場や消費者同士の交換が盛んだ。,①家具（新しい家具を買った｜买了新家具）②家居用品（家具を整理する｜整理家具）,边缘词
避難,ひなん,名詞,避难,避難することが重要 / 避難場所 / 避難訓練,5,真题,否,ひなん所までの生き方を確認する。 / さいがい時のひなん場所を知らせるため,①避难（避難所に行く｜去避难所）②逃避（安全な場所に避難する｜避难到安全的地方）,边缘词
ドア,どあ,名詞,门,ドアを開ける / ドアが閉まる / ドアの前,5,真题,否,ドアの音が大きかったから / ドアの近くの人が動かなかったから,①门（ドアを開ける｜打开门）②出入口（ドアを閉めてください｜请关上门）,边缘词
止まる,とまる,動詞,停止,止まることができる / 止まる場所 / 止まる時間,5,真题,否,電車が止まらなかったから / 今朝からずっと鼻水が止まらない。,①停止（車が止まる｜车停下了）②停下（ここで止まる｜在这里停下）,边缘词
みだれる,みだれる,動詞,混乱,みだれることがある / みだれる状況 / みだれる心,5,真题,否,きれいに整えた髪が乱れてしまった。 / 最近忙しくて生活のリズムがみだれている。,①混乱（心がみだれる｜心里很混乱）②失控（行動がみだれる｜行为失控）,边缘词
ふさわしい,ふさわしい,形容詞,合适,ふさわしい選択 / ふさわしい場所 / ふさわしい人,5,真题,否,中川さんの指摘は、いつもふさわしいです。 / 私にふさわしいサイズの帽子がやっと見つかった。,①合适的（この服はふさわしいです｜这件衣服合适）②适当的（ふさわしい場所を選ぶ｜选择合适的地方）,边缘词
帽子,ぼうし,名詞,帽子,帽子をかぶる / 帽子が似合う / 帽子を脱ぐ,5,真题,否,ほかのぼうしより暖かいから / 私にふさわしいサイズの帽子がやっと見つかった。,①帽子（彼は帽子をかぶっている｜他戴着帽子）,边缘词
空間,くうかん,名詞,空间,空間を作る / 空間が広い / 空間を利用する,5,真题,否,魅力のない空間になってしまう。 / 生活空間に花粉を持ち込まないようにしてください。,①空间（広い空間が必要です｜需要宽敞的空间）②空隙（空間を作る｜制造空隙）,边缘词
包む,つつむ,動詞,包裹,包むことができる / 包む材料 / 包む方法,5,真题,否,子どものときから大事に育てられたとか、 自分を包んでくれる街がきちっと大人たちに / 森はいつも独特な香りに包まれ、さわやかに感じられるが、 それはある物質の効果によるものだ。,①包裹（プレゼントを包む｜包裹礼物）②包围（風が包む｜风包围着）,边缘词
休養,きゅうよう,名詞,休养,休養を取る / 休養が必要 / 休養する時間,5,真题,否,休養はサボることではなく、時とし / すなわち、休養することが試合にとって、今、,①休息（十分な休養が必要｜需要充分休息）②养生（休養を取る｜休养一下）,边缘词
提示,ていじ,名詞,提示,提示を受ける / 提示すること / 提示がある,5,真题,否,「大人」 / (注2)提示する (ていじする): 見せる,①提示（意見を提示する｜提出意见）②建议（新しい提案を提示｜提出新建议）,边缘词
追う,おう,動詞,追赶,追うことができる / 追う対象 / 追う気持ち,5,真题,否,(注3) とことん追い詰められる: 逃げる道のないところまで追われる / するかのように忙しさに追われていることを、大人たちはこういう言い方をしているのです。,①追赶（彼を追う｜追赶他）②追求（夢を追う｜追求梦想）,边缘词
激しい,はげしい,形容詞,激烈,激しい競争 / 激しい雨 / 激しい感情,5,真题,否,退院しても、しばらくの間、はげしい運動はしないでください。 / 競争が激しくなって、人より早くしなければ負けてしまうという恐れを心に抱く,①激烈的（激しい雨が降る｜下着大雨）②强烈的（激しい感情｜强烈的情感）,边缘词
経費,けいひ,名詞,经费,経費を削減する / 経費がかかる / 経費の管理,5,真题,否,一機の経費にあてているのだ。 / 会社は社会の役に立つことができ、食堂の経費の節約にもなる。,①费用（経費を削減する｜削减费用）②开支（経費がかかる｜需要开支）,边缘词
悔しい,くやしい,形容詞,懊悔,悔しい思いをする / 悔しい結果 / 悔しい気持ち,5,真题,否,と悔しい思いをすることがある。 / 昨日、とても悔しい出来事があった。,①懊悔的（悔しい思いをする｜感到懊悔）②遗憾的（悔しい結果｜遗憾的结果）,边缘词
鍛える,きたえる,動詞,锻炼,鍛えるを / 鍛えるために / 鍛えることが,5,真题,否,きるという強さとがあるが、この方法は後者を鍛えることになる。 / つまり、その両方を鍛えないと、 記憶力は生きてこないのである。,①锻炼（体を鍛える｜锻炼身体）②锻造（鉄を鍛える｜锻造铁）,边缘词
昨年,さくねん,名詞,去年,昨年の / 昨年に / 昨年から,5,真题,否,しかし、昨年解いた問題をし / と気がついてすらすら解けることがある。,①去年（昨年の出来事｜去年的事情）,边缘词
業,ごう,接尾辞,行业,業に / 業を / 業界で,5,真题,否,日本の製造業は世界一になれたのだ。 / 参加企業: 金融・小売業・情報・通信・貿易商社など20社,①行业（業界の人｜行业的人）②事业（業を成す｜成就事业）,边缘词
休み,やすみ,名詞,休息,休みを / 休みに / 休みが,5,真题,否,川村「青木くんは、今日お休み? / 休みの前に資料を完成させたいから,①休息（休みを取る｜请假）②假期（夏休み｜暑假）,边缘词
至急,しきゅう,名詞,紧急,至急に / 至急の / 至急で,5,真题,否,「日本語の友・ 初級」 / を至急取りにきてもらいたい。,①紧急（至急の連絡｜紧急联系）,边缘词
ちぢむ,ちぢむ,動詞,缩小,ちぢむが / ちぢむことが / ちぢむために,5,真题,否,シャツがちぢんでしまった。 / この鉛筆はもう縮んでいて、 ちょっと書きづらい。,①缩小（服がちぢむ｜衣服缩水）②收缩（体がちぢむ｜身体收缩）,边缘词
断れる,ことわれる,動詞,拒绝,断れることが / 断れるの / 断れる場合は,5,真题,否,面倒だが、やはりこの仕事は断れない。 / B「そうなんだけど、 先輩だし、 断りにくくない?,①拒绝（断れる理由｜拒绝的理由）②被拒（断れることもある｜有时会被拒绝）,边缘词
政治,せいじ,名詞,政治,政治に / 政治の / 政治が,5,真题,否,政治、外交、経済、社会、文化に / 政治家は指導力を発揮できるのだ。,①政治（政治の問題｜政治问题）②政务（政治に関わる｜涉及政务）,边缘词
模型,もけい,名詞,模型,模型を / 模型の / 模型で,5,真题,否,などだ。 / 「模型鉄」,①模型（模型を作る｜制作模型）②样本（模型を使う｜使用模型）,边缘词
絵画,かいが,名詞,绘画,絵画を / 絵画の / 絵画が,5,真题,否,ぼくはいつも思うのだが、視覚にとらえたものをただ単に書いても、決して絵画にはならない。 / 絵画とは目の前の自然を心のなかに消化し、それをもう一度吐き出す作業によって生まれるのだ。,①绘画（絵画を鑑賞する｜欣赏绘画）②画作（絵画作品｜绘画作品）,边缘词
消化,しょうか,名詞,消化,消化が / 消化を / 消化に,5,真题,否,しており、肉や乳製品の消化が苦手だという。 / 日本では昔から米や野菜がよく食べられてきたため、日本人の体はそれらの消化に適,①消化（食べ物を消化する｜消化食物）②理解（内容を消化する｜理解内容）,边缘词
芸術,げいじゅつ,名詞,艺术,芸術の / 芸術を / 芸術で,5,真题,否,だから芸術というものは、 / 今村市〉 文化芸術施設> お知らせ,①艺术（美術や音楽など｜美术和音乐等）②创作（芸術を創作する｜创作艺术）,边缘词
感性,かんせい,名詞,感性,感性が / 感性を / 感性に,5,真题,否,(注3) 感性(かんせい) : 感じ方 / 感性の物差しだけで生きてしまうとすれば、 決して人間的な向上を図る(注3)ことはできない。,①感性（敏感な感覚｜敏感的感觉）②直觉（感性が働く｜直觉在起作用）,边缘词
見いだす,みいだす,動詞,发现,見いだすことが / 見いだすの / 見いだすために,5,真题,否,(注2) 見いだす ここでは、認める / ることに前向きの価値を見いだしているのではないか。,①发现（新しい可能性を見いだす｜发现新可能性）②找到（答えを見いだす｜找到答案）,边缘词
苦しむ,くるしむ,動詞,痛苦,苦しむことが / 苦しむの / 苦しむために,5,真题,否,苦しんでいる人を慰めた経験 / もしつらい恋愛で苦しんだ人が、 ある恋愛ものを読んで慰められたとすると、 そのときのこと,①痛苦（心が苦しむ｜心里痛苦）②挣扎（生活に苦しむ｜生活很挣扎）,边缘词
フォーム,ふぉーむ,名詞,形式,フォームで / フォームを / フォームが,5,真题,否,教えられたように走るフォームを改善することが簡単ではないからだ。 / 動の技術やフォームを改善することは、その運動を支配する (注1) 神経回路を組みかえることになるの,①形状（フォームを整える｜调整形状）②格式（書類のフォーム｜文件格式）,边缘词
動,どう,名詞,动,動が / 動に / 動を,5,真题,否,また、人間は、目の前で動 / 動がとれなくなることは、「叱る」,①动作（動がある｜有动作）②变化（動がある｜有动作）,边缘词
回路,かいろ,名詞,回路,回路を / 回路の / 回路が,5,真题,否,ことであると考えることによって、 解決 / スポーツ技術や 「(注5) 身のこなし」,①电路（電気回路｜电气电路）②循环（情報の回路｜信息循环）,边缘词
配慮,はいりょ,名詞,考虑,配慮が / 配慮を / 配慮に,5,真题,否,で読み返すかもしれない自分」 / への最低限の配慮 (注3)はしておかなくてはなりません。,①考虑（相手に配慮する｜考虑对方）②关心（配慮が必要｜需要关心）,边缘词
登場,とうじょう,名詞,登场,登場する / 登場の / 登場が,5,真题,否,照明の登場で夜も明るくなり、人々の生活は安全 / 登場人物の服装とか、 背景 (注7)とかの具体的な事実が、 文と,①登场（新キャラが登場｜新角色登场）②出现（舞台に登場｜在舞台上出现）,边缘词
当社,とうしゃ,名詞,本公司,当社の / 当社で / 当社が,5,真题,否,になります。 / を発売します。,①本公司（当社は日本の企業です｜我们是日本的公司）②我们公司（当社の製品を紹介します｜介绍我们的产品）,边缘词
手伝い,てつだい,名詞,帮助,手伝いを / 手伝いの / 手伝いが,5,真题,否,になります。 / 食事をするときの手伝いが上手にできない,①帮助（手伝いをお願いできますか｜可以帮我吗？）②助手（彼は手伝いをしています｜他在帮忙）,边缘词
招待,しょうたい,名詞,邀请,招待を / 招待の / 招待が,5,真题,否,にご招待いたします。 / (原島博『顔学への招待』 による),①邀请（友達を招待しました｜邀请了朋友）②请柬（招待状が届きました｜请柬到了）,边缘词
帰国,きこく,名詞,回国,帰国する / 帰国の / 帰国が,5,真题,否,(北川先生へのメールで)昨日無事に帰国しました。 / チャンさんは来月帰国する際に、A社を利用して引越する予定である。,①回国（彼は帰国しました｜他回国了）②返回祖国（帰国の準備をしています｜正在准备回国）,边缘词
事件,じけん,名詞,事件,事件が / 事件の / 事件に,5,真题,否,その事件は世間の注目を集めた / この写真の二人は事件に関係があるらしいが、まだ行方が分からない。,①事件（その事件は大きかった｜那个事件很大）②事故（交通事件が発生した｜发生了交通事故）,边缘词
違反,いはん,名詞,违反,違反する / 違反の / 違反が,5,真题,否,彼の意見に違反する人はあまりいなかった / ルールに違反して退場になった選手が3人もいる,①违反（規則に違反しました｜违反了规则）②违背（法律違反は許されない｜法律违背是不允许的）,边缘词
謝る,あやまる,動詞,道歉,謝ることが / 謝るの / 謝るために,5,真题,否,あやまった情報が流れてしまったようだ。 / あの時のことを今ごろ謝ってもとっくに遅いよ,①道歉（彼に謝りました｜我向他道歉了）②认错（すぐに謝るべきです｜应该马上认错）,边缘词
入口,いりぐち,名詞,入口,入口の / 入口で / 入口が,5,真题,否,ホールの入口の前でならぶ / 入口でパンフレットを受け入れてから席にお座りください,①入口（入口はあちらです｜入口在那边）②门口（入口が混雑しています｜入口很拥挤）,边缘词
並ぶ,ならぶ,動詞,排队,並ぶことが / 並ぶの / 並ぶために,5,真题,否,ホールの入口の前でならぶ / 渡してみると、頑丈そうな建物が並んでいます。,①排队（人が並んでいます｜人们在排队）②并排（車が並んでいます｜车子并排着）,边缘词
平均,へいきん,名詞,平均,平均の / 平均を / 平均が,5,真题,否,ところが、ある調査によると日本の家の平均寿命は、 / 平均寿命30年というのは、30年で壊れてしまうという意味ではないのです。,①平均（平均点は70点です｜平均分是70分）②均匀（平均的なサイズです｜这是平均大小）,边缘词
寿命,じゅみょう,名詞,寿命,寿命が / 寿命の / 寿命を,5,真题,否,ところが、ある調査によると日本の家の平均寿命は、 / 平均寿命30年というのは、30年で壊れてしまうという意味ではないのです。,①生命的长度（例：寿命が延びる｜寿命延长）②使用期限（例：電池の寿命｜电池的使用期限）,边缘词
夫婦,ふうふ,名詞,夫妻,夫婦の / 夫婦で / 夫婦が,5,真题,否,夫婦ともにこの会社に勤めている社員 / そのため、年をとった夫婦ためには住む,①夫妻关系（例：夫婦で旅行｜夫妻一起旅行）②已婚的两人（例：夫婦仲が良い｜夫妻关系很好）,边缘词
教科,きょうか,名詞,科目,教科の / 教科を / 教科で,5,真题,否,本日貴社(注1)から教科書 40冊が届きました。 / このような誤用(注)をきちんと分析すれば、その成果としてすばらしい教科書ができるはずだ。,①学科课程（例：教科書を読む｜在读教科书）②教育内容（例：教科の選択｜选择学科）,边缘词
中級,ちゅうきゅう,名詞,中级,中級の / 中級で / 中級が,5,真题,否,とありました。 / が入っておりました。,①中等水平（例：中級のクラス｜中级班）②适中程度（例：中級者向け｜适合中级者）,边缘词
初級,しょきゅう,名詞,初级,初級の / 初級で / 初級が,5,真题,否,が入っておりました。 / 「日本語の友・初級」,①基础水平（例：初級のレッスン｜基础课程）②入门阶段（例：初級者向け｜适合初学者）,边缘词
最低,さいてい,名詞,最低,最低の / 最低を / 最低が,5,真题,否,を順位は高く、 新しく係に入ってきた人の順位は、ゾウから見れば最低です。 / るかどうかは、 スピードとか記録とかの前にベース (注5) となる最低限の保証だ。,①最低限度（例：最低の基準｜最低标准）②最差的（例：最低の評価｜最低评价）,边缘词
満たす,みたす,動詞,满足,満たすことが / 満たすの / 満たすために,5,真题,否,【応募資格】次の条件を両方とも満たす者 / 次の学生のうち、このコンテストの応募条件を満たしているのは誰か。,①满足条件（例：条件を満たす｜满足条件）②充满（例：心が満たされる｜心里充满）,边缘词
労働,ろうどう,名詞,劳动,労働の / 労働を / 労働で,5,真题,否,のかわり精神面での労働力を捨てることになるからだ。 / と思うのは、たとえそれで社員の労働力を物理的に100パーセント引き出すことができたとしても、そ,①工作活动（例：労働時間｜工作时间）②体力或脑力的付出（例：労働者の権利｜工人的权利）,边缘词
こつこつ,こつこつ,副詞,勤奋,こつこつと / こつこつに / こつこつで,5,真题,否,て、こつこつと進む過程は、本当にわくわくして楽しい。 / 何度も説明を聞いていたら、 こつこつとわかってきた。,①勤奋努力（例：こつこつ勉強する｜努力学习）②稳步前进（例：こつこつ貯金｜稳步存钱）,边缘词
散歩,さんぽ,名詞,散步,散歩を / 散歩の / 散歩が,5,真题,否,".健康のために、 毎朝散歩することが役目になっている, / このアイディアは仕事中ではなく、散歩しているときに思いついた。",①悠闲步行（例：散歩に行く｜去散步）②放松心情（例：散歩が好き｜喜欢散步）,边缘词
旅先,たびさき,名詞,旅行地,旅先で / 旅先の / 旅先に,5,真题,否,旅先であるちょうこくを見たこと / 旅先で集めたものを保存しておいて、多くの人たちと情報を交換するため,①旅行目的地（例：旅先はどこですか？｜旅行目的地是哪里？）,边缘词
流行,りゅうこう,名詞,流行,流行の / 流行を / 流行が,5,真题,否,流行に右左されない知識を身につけていること / にはその時代ごとに流行があるから、これは無限というわけではない。,①时尚潮流（例：流行の服を着ている｜穿着时尚的衣服）②流行病（例：流行が広がっている｜流行病在扩散）,边缘词
組,くみ,名詞,组,組の / 組で / 組が,5,真题,否,人1組で一緒に申し込むことはできるか。 / 6人1組で申し込むことが可能で、同じ時間に一緒に見学することができる。,①团队、组别（例：サッカーの組に入る｜加入足球组）②组合、配对（例：組を作る｜组成组合）,边缘词
係員,かかりいん,名詞,工作人员,係員が / 係員の / 係員に,5,真题,否,係員は柔軟に対応してくれた。 / 別館では係員による歴史的な背景の説明を聞きながら、ゆっくり見学していただけます。,①工作人员（例：係員に聞いてください｜请问工作人员）,边缘词
背景,はいけい,名詞,背景,背景の / 背景を / 背景が,5,真题,否,(注7)背景: ここでは、 後ろの景色 / 登場人物の服装とか、 背景 (注7)とかの具体的な事実が、 文と,①背景、环境（例：背景が美しい｜背景很美）②背景资料（例：背景を調べる｜调查背景）,边缘词
略す,りゃくす,動詞,省略,略すことが / 略すの / 略すために,5,真题,否,を略して 「就活」 / と言うことがある。,①省略、简化（例：名前を略す｜省略名字）,边缘词
聞こえる,きこえる,動詞,听见,聞こえるの / 聞こえることが / 聞こえるために,5,真题,否,音量がとぼしくて聞こえにくい。 / 隣の部屋から奇妙な音が聞こえる。,①听见、能听到（例：声が聞こえる｜能听到声音）,边缘词
残業,ざんぎょう,名詞,加班,残業が / 残業の / 残業を,5,真题,否,昨日は残業で疲れちゃって。 / 残業が多いのは能率が悪いからだ。,①加班工作（例：残業が多い｜加班很多）,边缘词
果物,くだもの,名詞,水果,果物を / 果物の / 果物が,5,真题,否,パパが嫌な果物ってことだよね。 / お父さんが嫌いな果物は何でしょう。,①水果（例：果物が好きです｜我喜欢水果）,边缘词
用件,ようけん,名詞,事项,用件が / 用件の / 用件を,5,真题,否,. このメールの用件は何か。 / A 「すみません、 来週の2時からの会議ですが、その時間、 別の用件が入ってしまいまして・・・・・・。,①事务、事情（例：用件は何ですか？｜请问有什么事？）,边缘词
息子,むすこ,名詞,儿子,息子の / 息子が / 息子に,5,真题,否,が、息子である私宛に届く郵便物より少ないことであった。 / 私は、息子がサッカーの試合に出るときは必ず会場へ支持しに行く。,①儿子（彼は息子です｜他是我的儿子）,边缘词
